signal_e,ser,ber,cells_per_s,bits,M,use_encoder,cond,enc_flops_per_cell,dec_flops_per_cell,params,model_MB,peak_mem_MB,amp
1200,0.000586,0.00042,3512095.0,2,4,True,True,39168,343552,42341,0.169,220.9,bf16
2000,0.000137,7.8e-05,7265110.8,2,4,True,True,39168,343552,42341,0.169,220.9,bf16
3500,4.9e-05,2.9e-05,7275892.4,2,4,True,True,39168,343552,42341,0.169,220.9,bf16
6000,5.9e-05,3.9e-05,7272213.9,2,4,True,True,39168,343552,42341,0.169,220.9,bf16
9000,3.9e-05,2e-05,7273835.4,2,4,True,True,39168,343552,42341,0.169,220.9,bf16
14000,2.9e-05,1.5e-05,7277785.0,2,4,True,True,39168,343552,42341,0.169,220.9,bf16
1200,0.06666,0.029235,7196270.0,3,8,True,True,39168,343808,42601,0.17,215.2,bf16
2000,0.022744,0.010033,7268356.5,3,8,True,True,39168,343808,42601,0.17,215.2,bf16
3500,0.008984,0.00389,7267587.8,3,8,True,True,39168,343808,42601,0.17,215.2,bf16
6000,0.004219,0.001706,7273251.1,3,8,True,True,39168,343808,42601,0.17,215.2,bf16
9000,0.003047,0.001224,7264674.7,3,8,True,True,39168,343808,42601,0.17,215.2,bf16
14000,0.00291,0.001185,7212272.8,3,8,True,True,39168,343808,42601,0.17,215.2,bf16
1200,0.354268,0.158933,4225076.8,4,16,True,True,39168,344320,43121,0.172,221.3,bf16
2000,0.266084,0.116128,7240724.1,4,16,True,True,39168,344320,43121,0.172,221.3,bf16
3500,0.199346,0.083704,7253709.5,4,16,True,True,39168,344320,43121,0.172,221.3,bf16
6000,0.156807,0.062949,7228638.7,4,16,True,True,39168,344320,43121,0.172,221.3,bf16
9000,0.141787,0.055955,7223487.0,4,16,True,True,39168,344320,43121,0.172,221.3,bf16
14000,0.210518,0.087546,7225711.9,4,16,True,True,39168,344320,43121,0.172,221.3,bf16
1200,0.00125,0.000796,7862841.9,2,4,False,True,0,343552,22436,0.09,199.0,bf16
2000,0.000459,0.000273,7988731.5,2,4,False,True,0,343552,22436,0.09,199.0,bf16
3500,0.000107,7.8e-05,8008478.4,2,4,False,True,0,343552,22436,0.09,199.0,bf16
6000,5.9e-05,3.4e-05,7976581.3,2,4,False,True,0,343552,22436,0.09,199.0,bf16
9000,3.9e-05,2.4e-05,7976972.1,2,4,False,True,0,343552,22436,0.09,199.0,bf16
14000,7.8e-05,4.9e-05,7976652.1,2,4,False,True,0,343552,22436,0.09,199.0,bf16
1200,0.084941,0.044294,7851564.3,3,8,False,True,0,343808,22568,0.09,199.3,bf16
2000,0.042549,0.022295,7982601.0,3,8,False,True,0,343808,22568,0.09,199.3,bf16
3500,0.018867,0.009795,7981988.1,3,8,False,True,0,343808,22568,0.09,199.3,bf16
6000,0.009766,0.005007,7967568.9,3,8,False,True,0,343808,22568,0.09,199.3,bf16
9000,0.007334,0.003724,7959049.4,3,8,False,True,0,343808,22568,0.09,199.3,bf16
14000,0.007793,0.00388,7957520.5,3,8,False,True,0,343808,22568,0.09,199.3,bf16
1200,0.393477,0.169519,7819324.1,4,16,False,True,0,344320,22832,0.091,199.6,bf16
2000,0.318145,0.137666,7973794.9,4,16,False,True,0,344320,22832,0.091,199.6,bf16
3500,0.250469,0.108335,7989010.7,4,16,False,True,0,344320,22832,0.091,199.6,bf16
6000,0.20501,0.087607,7981904.2,4,16,False,True,0,344320,22832,0.091,199.6,bf16
9000,0.172773,0.073704,7952570.4,4,16,False,True,0,344320,22832,0.091,199.6,bf16
14000,0.166953,0.071956,7945477.3,4,16,False,True,0,344320,22832,0.091,199.6,bf16
