timestamp,index,temperature_gpu,utilization_gpu,utilization_memory,memory_used,power_draw,clocks_sm
2026/09/14 15:51:33.700, 0, 26, 3, 0, 161, 55.06, 1480
2026/09/14 15:51:33.703, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:51:34.737, 0, 28, 0, 0, 165, 55.22, 1480
2026/09/14 15:51:34.739, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:51:35.772, 0, 30, 1, 0, 427, 79.03, 1721
2026/09/14 15:51:35.775, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:51:36.807, 0, 35, 100, 5, 429, 107.52, 1911
2026/09/14 15:51:36.810, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:51:37.842, 0, 36, 100, 5, 429, 98.00, 1911
2026/09/14 15:51:37.844, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:51:38.878, 0, 36, 100, 4, 429, 118.29, 1911
2026/09/14 15:51:38.884, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:51:39.917, 0, 37, 100, 4, 429, 96.85, 1911
2026/09/14 15:51:39.921, 1, 18, 0, 0, 5, 9.23, 139
2026/09/14 15:51:40.954, 0, 38, 100, 5, 429, 104.35, 1911
2026/09/14 15:51:40.957, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:51:41.989, 0, 38, 100, 5, 429, 141.53, 1911
2026/09/14 15:51:41.993, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:51:43.025, 0, 38, 100, 4, 429, 98.05, 1911
2026/09/14 15:51:43.028, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:51:44.061, 0, 38, 100, 4, 429, 113.81, 1911
2026/09/14 15:51:44.063, 1, 18, 0, 0, 5, 10.73, 139
2026/09/14 15:51:45.098, 0, 38, 100, 5, 429, 106.84, 1911
2026/09/14 15:51:45.101, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:51:46.133, 0, 39, 100, 4, 429, 95.47, 1911
2026/09/14 15:51:46.136, 1, 18, 0, 0, 5, 9.13, 139
2026/09/14 15:51:47.168, 0, 39, 100, 5, 429, 131.59, 1911
2026/09/14 15:51:47.171, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:51:48.204, 0, 39, 100, 5, 429, 105.63, 1911
2026/09/14 15:51:48.206, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:51:49.238, 0, 39, 100, 5, 429, 82.48, 1911
2026/09/14 15:51:49.241, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:51:50.274, 0, 39, 100, 4, 429, 120.94, 1911
2026/09/14 15:51:50.277, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:51:51.311, 0, 39, 100, 5, 429, 124.34, 1911
2026/09/14 15:51:51.314, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:51:52.347, 0, 40, 100, 4, 429, 85.78, 1911
2026/09/14 15:51:52.350, 1, 18, 0, 0, 5, 9.13, 139
2026/09/14 15:51:53.382, 0, 40, 100, 4, 429, 101.96, 1911
2026/09/14 15:51:53.385, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:51:54.419, 0, 40, 100, 3, 429, 143.99, 1911
2026/09/14 15:51:54.422, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:51:55.454, 0, 40, 100, 5, 429, 93.94, 1911
2026/09/14 15:51:55.456, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:51:56.489, 0, 40, 100, 4, 429, 109.45, 1911
2026/09/14 15:51:56.491, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:51:57.527, 0, 40, 100, 4, 429, 114.71, 1911
2026/09/14 15:51:57.529, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:51:58.562, 0, 41, 100, 5, 429, 100.27, 1911
2026/09/14 15:51:58.569, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:51:59.601, 0, 41, 100, 5, 429, 114.33, 1911
2026/09/14 15:51:59.603, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:00.635, 0, 41, 100, 5, 429, 98.14, 1911
2026/09/14 15:52:00.638, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:52:01.674, 0, 41, 100, 5, 429, 101.96, 1911
2026/09/14 15:52:01.677, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:02.711, 0, 41, 100, 5, 429, 126.73, 1911
2026/09/14 15:52:02.713, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:52:03.745, 0, 41, 100, 5, 429, 99.85, 1911
2026/09/14 15:52:03.748, 1, 18, 0, 0, 5, 8.98, 139
2026/09/14 15:52:04.783, 0, 42, 100, 5, 429, 104.00, 1911
2026/09/14 15:52:04.789, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:52:05.823, 0, 42, 100, 4, 429, 140.25, 1911
2026/09/14 15:52:05.826, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:06.858, 0, 42, 100, 5, 429, 101.47, 1911
2026/09/14 15:52:06.861, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:07.894, 0, 42, 100, 4, 429, 110.57, 1911
2026/09/14 15:52:07.897, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:08.930, 0, 42, 100, 5, 429, 115.49, 1911
2026/09/14 15:52:08.933, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:09.965, 0, 42, 100, 5, 429, 98.92, 1911
2026/09/14 15:52:09.968, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:11.002, 0, 42, 100, 5, 429, 123.42, 1911
2026/09/14 15:52:11.005, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:12.037, 0, 42, 100, 5, 429, 100.32, 1911
2026/09/14 15:52:12.041, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:13.074, 0, 43, 100, 4, 429, 82.45, 1911
2026/09/14 15:52:13.076, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:52:14.116, 0, 43, 100, 5, 429, 137.76, 1911
2026/09/14 15:52:14.118, 1, 18, 0, 0, 5, 14.56, 139
2026/09/14 15:52:15.152, 0, 43, 100, 4, 429, 106.23, 1911
2026/09/14 15:52:15.155, 1, 18, 0, 0, 5, 9.37, 139
2026/09/14 15:52:16.190, 0, 43, 100, 4, 429, 82.96, 1911
2026/09/14 15:52:16.193, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:17.226, 0, 43, 100, 5, 429, 131.18, 1911
2026/09/14 15:52:17.229, 1, 18, 0, 0, 5, 8.88, 139
2026/09/14 15:52:18.262, 0, 43, 100, 3, 429, 116.40, 1911
2026/09/14 15:52:18.268, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:19.301, 0, 43, 100, 5, 429, 86.03, 1911
2026/09/14 15:52:19.303, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:52:20.338, 0, 43, 100, 3, 429, 121.45, 1911
2026/09/14 15:52:20.347, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:21.379, 0, 43, 100, 5, 429, 128.40, 1911
2026/09/14 15:52:21.381, 1, 18, 0, 0, 5, 9.37, 139
2026/09/14 15:52:22.414, 0, 44, 100, 3, 429, 87.33, 1911
2026/09/14 15:52:22.418, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:23.451, 0, 44, 100, 5, 429, 103.85, 1911
2026/09/14 15:52:23.453, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:24.485, 0, 44, 100, 4, 429, 134.02, 1911
2026/09/14 15:52:24.488, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:25.521, 0, 44, 100, 5, 429, 101.14, 1911
2026/09/14 15:52:25.523, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:26.555, 0, 44, 100, 4, 429, 116.11, 1911
2026/09/14 15:52:26.558, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:52:27.590, 0, 44, 100, 4, 429, 98.63, 1911
2026/09/14 15:52:27.593, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:28.629, 0, 44, 100, 4, 429, 103.17, 1911
2026/09/14 15:52:28.631, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:29.664, 0, 44, 100, 4, 429, 131.21, 1911
2026/09/14 15:52:29.668, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:30.700, 0, 44, 100, 5, 429, 100.85, 1911
2026/09/14 15:52:30.703, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:31.735, 0, 45, 100, 5, 429, 110.17, 1911
2026/09/14 15:52:31.740, 1, 18, 0, 0, 5, 9.13, 139
2026/09/14 15:52:32.776, 0, 44, 100, 4, 429, 136.75, 1911
2026/09/14 15:52:32.779, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:33.811, 0, 45, 100, 4, 429, 103.02, 1911
2026/09/14 15:52:33.817, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:52:34.848, 0, 45, 100, 5, 429, 118.05, 1911
2026/09/14 15:52:34.851, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:52:35.884, 0, 45, 100, 4, 429, 95.56, 1911
2026/09/14 15:52:35.887, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:36.918, 0, 45, 100, 5, 429, 89.43, 1911
2026/09/14 15:52:36.923, 1, 18, 0, 0, 5, 9.03, 139
2026/09/14 15:52:37.955, 0, 45, 100, 4, 429, 145.50, 1911
2026/09/14 15:52:37.957, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:52:38.989, 0, 45, 100, 5, 429, 117.36, 1911
2026/09/14 15:52:38.992, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:40.025, 0, 45, 99, 4, 429, 85.45, 1911
2026/09/14 15:52:40.030, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:41.062, 0, 45, 100, 4, 429, 102.21, 1911
2026/09/14 15:52:41.065, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:42.097, 0, 45, 100, 4, 429, 148.40, 1911
2026/09/14 15:52:42.100, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:43.132, 0, 45, 100, 5, 429, 94.11, 1911
2026/09/14 15:52:43.136, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:44.175, 0, 45, 100, 4, 429, 104.69, 1911
2026/09/14 15:52:44.178, 1, 18, 0, 0, 5, 9.13, 139
2026/09/14 15:52:45.212, 0, 45, 100, 4, 429, 141.38, 1911
2026/09/14 15:52:45.215, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:46.246, 0, 46, 100, 5, 429, 100.32, 1911
2026/09/14 15:52:46.249, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:47.283, 0, 45, 100, 5, 429, 112.93, 1911
2026/09/14 15:52:47.285, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:48.320, 0, 46, 100, 5, 429, 115.87, 1911
2026/09/14 15:52:48.343, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:52:49.401, 0, 46, 100, 4, 429, 98.82, 1911
2026/09/14 15:52:49.404, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:52:50.437, 0, 46, 100, 5, 429, 122.43, 1911
2026/09/14 15:52:50.440, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:52:51.472, 0, 46, 100, 5, 429, 99.83, 1911
2026/09/14 15:52:51.475, 1, 18, 0, 0, 5, 8.69, 139
