signal_e,snr_dB,ber_1bit,ber_2bit,ber_3bit,ber_4bit
625,30.9,3.5150340705190294e-26,0.00017028135837750578,0.03876163797048759,0.11323099200577517
1250,33.94,9.327825501337535e-51,2.3927374203226467e-07,0.009579226989484121,0.07483962129157101
1875,35.72,2.8433135862785367e-75,3.8116134271280916e-10,0.002585724911614629,0.05201931945308414
2500,36.97,9.180581524404813e-100,6.407536986293133e-13,0.0007271658795838615,0.03706919169906449
3125,37.94,3.059841307940875e-124,1.1101026318692301e-15,0.00020947934188677035,0.02682365560823747
3750,38.74,1.0405816787768381e-148,1.960760317212256e-18,6.131583749175244e-05,0.01961535585400917
4375,39.41,3.5884292328839595e-173,3.51015846377204e-21,1.8152711746679726e-05,0.014455613026960674
5000,39.99,1.2501684702179315e-197,6.346457230020266e-24,5.420196901987047e-06,0.010716802158548956
5625,40.5,4.389597863974495e-222,1.1562131111795249e-26,1.6291981854138407e-06,0.007982792235264722
6250,40.96,1.550811676315177e-246,2.1191360211999405e-29,4.923171160397855e-07,0.00596936432134945
6875,41.38,5.506323043377251e-271,3.903025307475805e-32,1.494208290464557e-07,0.004478215550555186
7500,41.75,1.963160426747828e-295,7.217721519101376e-35,4.551552030516945e-08,0.003368771452267541
8125,42.1,7.0236e-320,1.3392963679705642e-37,1.3907496228331607e-08,0.002540155020891341
8750,42.43,0.0,2.492378794482181e-40,4.260786372119154e-09,0.0019192751114921417
9375,42.73,0.0,4.649858373620492e-43,1.3083681279824695e-09,0.001452760186518912
10000,43.01,0.0,8.693895117975415e-46,4.025741365359366e-10,0.0011013891564759532
10625,43.27,0.0,1.628635474691642e-48,1.2408963558279812e-10,0.0008361864931904396
11250,43.52,0.0,3.0561416299973344e-51,3.8310141828162145e-11,0.0006356499102923597
11875,43.75,0.0,5.74359342631355e-54,1.1844285048852789e-11,0.00048376191135579745
12500,43.98,0.0,1.0809042226663842e-56,3.6665676110734495e-12,0.00036855143409956
13125,44.19,0.0,2.036697474287334e-59,1.136354611214647e-12,0.00028104599161980136
13750,44.39,0.0,3.8419532998841135e-62,3.525543412044112e-13,0.0002145036883921381
14375,44.58,0.0,7.254724268283434e-65,1.0948554993193427e-13,0.00016384745664625337
15000,44.77,0.0,1.371183240183701e-67,3.403075062555466e-14,0.00012524641426766962
