config,n_robots,n_platters,write_Mbit_s,mount_s,n_trials,mean_completion_s,p50_completion_s,p99_completion_s,robot_utilization,net_read_s_per_job,write_s_per_job,mount_frac_of_service,n_sets,pooled_set_loss_events,pooled_set_trials,set_loss_prob_estimate,horizon_yr
silica_1beam_18.4Mbit,1,1000,18.4,1.0,100,278.519,196.817,787.27,0.0002,5.6,190.2174,0.0051,52,0,5200,0.0,5.0
silica_1beam_18.4Mbit,1,4000,18.4,1.0,100,224.005,196.817,775.461,0.0005,5.6,190.2174,0.0051,210,0,21000,0.0,5.0
silica_1beam_18.4Mbit,1,16000,18.4,1.0,100,204.075,196.817,525.461,0.002,5.6,190.2174,0.0051,842,0,84200,0.0,5.0
silica_1beam_18.4Mbit,2,1000,18.4,1.0,100,224.062,196.817,393.635,0.0001,5.6,190.2174,0.0051,52,0,5200,0.0,5.0
silica_1beam_18.4Mbit,2,4000,18.4,1.0,100,205.87,196.817,393.635,0.0003,5.6,190.2174,0.0051,210,0,21000,0.0,5.0
silica_1beam_18.4Mbit,2,16000,18.4,1.0,100,199.174,196.817,332.621,0.001,5.6,190.2174,0.0051,842,0,84200,0.0,5.0
silica_1beam_18.4Mbit,4,1000,18.4,1.0,100,196.838,196.817,196.817,0.0,5.6,190.2174,0.0051,52,0,5200,0.0,5.0
silica_1beam_18.4Mbit,4,4000,18.4,1.0,100,196.823,196.817,196.817,0.0001,5.6,190.2174,0.0051,210,0,21000,0.0,5.0
silica_1beam_18.4Mbit,4,16000,18.4,1.0,100,196.821,196.817,196.817,0.0005,5.6,190.2174,0.0051,842,0,84200,0.0,5.0
silica_1beam_18.4Mbit,8,1000,18.4,1.0,100,196.817,196.817,196.817,0.0,5.6,190.2174,0.0051,52,0,5200,0.0,5.0
silica_1beam_18.4Mbit,8,4000,18.4,1.0,100,196.817,196.817,196.817,0.0001,5.6,190.2174,0.0051,210,0,21000,0.0,5.0
silica_1beam_18.4Mbit,8,16000,18.4,1.0,100,196.817,196.817,196.817,0.0003,5.6,190.2174,0.0051,842,0,84200,0.0,5.0
silica_1beam_18.4Mbit,20,1000,18.4,1.0,100,196.817,196.817,196.817,0.0,5.6,190.2174,0.0051,52,0,5200,0.0,5.0
silica_1beam_18.4Mbit,20,4000,18.4,1.0,100,196.817,196.817,196.817,0.0,5.6,190.2174,0.0051,210,0,21000,0.0,5.0
silica_1beam_18.4Mbit,20,16000,18.4,1.0,100,196.817,196.817,196.817,0.0001,5.6,190.2174,0.0051,842,0,84200,0.0,5.0
silica_1beam_25.6Mbit,1,1000,25.6,1.0,100,202.802,143.319,573.275,0.0001,5.6,136.7188,0.007,52,0,5200,0.0,5.0
silica_1beam_25.6Mbit,1,4000,25.6,1.0,100,163.105,143.319,564.676,0.0004,5.6,136.7188,0.007,210,0,21000,0.0,5.0
silica_1beam_25.6Mbit,1,16000,25.6,1.0,100,148.561,143.319,380.293,0.0015,5.6,136.7188,0.007,842,0,84200,0.0,5.0
