rate_mult,base_fail_rate,burst_rate,config,n_trials,pooled_set_loss_events,pooled_set_trials,set_loss_prob_estimate,mean_completion_s,p99_completion_s,mount_frac_of_service
1,0.02,2.0,silica_25.6Mbit_mount1.0s,60,0,50520,0.0,145.065,241.253,0.007
1,0.02,2.0,tape_3200Mbit_mount1.0s,60,0,50520,0.0,7.787,12.951,0.13
1,0.02,2.0,naive_fast_repair_mount0s,60,0,50520,0.0,142.319,142.319,0.0
5,0.1,10.0,silica_25.6Mbit_mount1.0s,60,0,50520,0.0,145.059,277.082,0.007
5,0.1,10.0,tape_3200Mbit_mount1.0s,60,0,50520,0.0,7.786,14.874,0.13
5,0.1,10.0,naive_fast_repair_mount0s,60,0,50520,0.0,142.319,142.319,0.0
10,0.2,20.0,silica_25.6Mbit_mount1.0s,60,0,50520,0.0,145.111,284.248,0.007
10,0.2,20.0,tape_3200Mbit_mount1.0s,60,0,50520,0.0,7.788,15.259,0.13
10,0.2,20.0,naive_fast_repair_mount0s,60,0,50520,0.0,142.319,142.319,0.0
25,0.5,50.0,silica_25.6Mbit_mount1.0s,60,0,50520,0.0,145.21,286.637,0.007
25,0.5,50.0,tape_3200Mbit_mount1.0s,60,0,50520,0.0,7.789,15.387,0.13
25,0.5,50.0,naive_fast_repair_mount0s,60,0,50520,0.0,142.319,142.319,0.0
50,1.0,100.0,silica_25.6Mbit_mount1.0s,60,0,50520,0.0,145.393,286.637,0.007
50,1.0,100.0,tape_3200Mbit_mount1.0s,60,0,50520,0.0,7.789,15.387,0.13
50,1.0,100.0,naive_fast_repair_mount0s,60,0,50520,0.0,142.319,142.319,0.0
100,2.0,200.0,silica_25.6Mbit_mount1.0s,60,0,50520,0.0,145.924,286.637,0.007
100,2.0,200.0,tape_3200Mbit_mount1.0s,60,0,50520,0.0,7.788,15.387,0.13
100,2.0,200.0,naive_fast_repair_mount0s,60,0,50520,0.0,142.319,142.319,0.0
200,4.0,400.0,silica_25.6Mbit_mount1.0s,60,0,50520,0.0,147.714,286.637,0.007
200,4.0,400.0,tape_3200Mbit_mount1.0s,60,0,50520,0.0,7.79,15.387,0.13
200,4.0,400.0,naive_fast_repair_mount0s,60,0,50520,0.0,142.319,142.319,0.0
400,8.0,800.0,silica_25.6Mbit_mount1.0s,60,0,50520,0.0,154.361,311.089,0.007
400,8.0,800.0,tape_3200Mbit_mount1.0s,60,0,50520,0.0,7.793,15.387,0.13
400,8.0,800.0,naive_fast_repair_mount0s,60,0,50520,0.0,142.319,142.319,0.0
800,16.0,1600.0,silica_25.6Mbit_mount1.0s,60,0,50520,0.0,190.55,502.312,0.007
800,16.0,1600.0,tape_3200Mbit_mount1.0s,60,0,50520,0.0,7.801,15.387,0.13
800,16.0,1600.0,naive_fast_repair_mount0s,60,0,50520,0.0,142.319,142.319,0.0
